,x1,y1,x2,y2
2288,204,760,397.8,671.84
966,0,152,952.68,67.64
1207,680,152,703.12,199.12
1240,68,304,330.48,274.36
838,1292,456,1047.2,449.92
1262,136,380,517.48,429.4
108,204,380,293.76,430.92
2456,272,532,295.8,559.36
1795,816,608,777.24,438.52
131,340,456,271.32,480.32
1477,476,304,524.96,335.16
1234,1088,228,891.48,238.64
1693,1020,228,935.0,265.24
1709,680,304,688.84,338.96
2822,1020,152,1003.0,229.52
761,340,228,352.92,417.24
1487,1156,304,1005.04,283.48
2439,544,456,389.64,449.92
2983,544,760,522.24,626.24
1332,612,608,488.24,648.28
1273,884,380,732.36,389.88
1573,1292,608,1295.4,610.28
604,1088,456,1016.6,497.04
