,x1,y1,x2,y2
1907,1360,152,1198.7365040576728,3.2009300871966673
2805,1292,76,1115.4339261460386,-114.36117381444578
128,136,456,804.1274408629738,206.91966753285774
401,136,608,860.1090542752795,156.07450987858786
511,476,152,679.3902401470827,68.91784915925916
122,1156,380,1173.244260631594,293.8970466234118
584,1156,380,856.59517511527,105.67055430040392
1665,544,152,763.2481619663156,178.60661391230727
699,408,0,1055.3087671889966,53.392847885993056
715,68,76,1172.211127477685,4.8823216775338265
297,204,228,646.9948378008892,-4.701490328250152
2945,816,608,500.39091869918127,108.25769258274549
2056,68,760,939.567690974557,317.83804973156043
1431,204,152,487.4922729012627,137.9884407366305
2063,544,760,1161.7655202206263,226.40394273593145
1793,680,608,925.9821055868188,200.4106325241142
2252,612,608,823.4859206320565,214.22074274278745
1597,68,760,707.4089747129021,147.70402918162705
924,0,0,948.509127497845,177.4139920267168
449,544,760,956.9053035228222,164.37375410842606
1516,272,456,376.8408426926005,115.34221583376252
324,612,304,986.9539792913597,41.552051093502854
2624,340,304,814.8565738757684,159.21067414378993
1955,340,380,418.67398301779633,189.8130845757312
1815,748,684,961.8780126543578,24.015197513589378
1694,1088,228,1122.186321831206,184.05085514982258
1327,272,608,637.5232109001641,245.46701692448244
2489,1088,608,1118.8540901468305,332.07470548083654
2476,204,608,935.8908671530835,270.3291097412143
620,748,532,772.0564462341878,76.9712002188046
943,1292,0,1122.1153598821043,227.68964768607415
1361,1156,684,1327.0438893204537,314.5925898695784
2301,1088,760,1328.6388120629904,233.976816029546
45,204,152,654.0153538523577,72.41717128234686
2345,1292,76,1127.1814442946963,-3.6587422618172107
2697,1020,532,1111.1427516771812,225.29598416162213
1248,612,304,870.1606763305002,277.91403624094374
1455,408,228,934.7596545188568,385.38666390478573
101,1156,304,1062.9850661241542,231.41815699120153
2104,544,76,907.3279603599508,128.15475541243222
1163,544,0,1075.2050205341957,-11.495178305292505
2143,340,228,565.5088514968,165.95325578623792
1078,476,532,967.5831868375251,261.06026747828224
2608,680,228,898.4010704964164,86.27431849598592
2145,476,228,675.8730982852246,183.8358071460845
619,680,532,753.4288105597151,72.65584231059293
2120,204,152,580.9269057748403,98.1942374279129
1861,1088,0,1089.9988688678802,159.3576564534117
2564,544,76,1089.0757748615742,106.52310129598418
49,476,152,756.2451302581306,136.23927276371816
242,748,0,933.1656962958965,60.91902778870642
1430,136,152,520.7598202556633,175.1421193536354
473,748,0,719.818223032549,49.76994907553694
1924,1088,228,1169.827855338754,216.60703601037218
538,884,228,727.8102607010343,118.44318432159649
1057,476,456,961.3847434525568,277.206842176217
2838,680,228,1054.559763067844,-94.23188791172771
2112,1088,76,1099.5612640416934,129.8838558521791
1107,1020,608,952.3153641220609,186.53013969479056
1897,680,152,982.9532365836761,199.19219455147783
2000,544,532,953.9000754955033,344.477734824621
331,1088,304,1266.8016658545187,87.53515355197803
1219,68,228,885.3928388804695,118.67085609750077
1928,1360,228,1206.7695613941391,249.24261726592133
2045,748,684,1072.4821736408924,413.17325003417454
1283,136,456,2107.745466825679,70.20454045905807
2779,952,0,1093.842418323814,-129.77586900690773
1445,1156,152,1660.3379135316122,258.2383132551842
636,408,608,634.3488888068267,59.16809880720444
681,612,760,790.7602345901539,56.805207629852966
2093,1224,0,1256.5845515554754,133.34697243052284
98,952,304,1026.4657030316457,208.90852971517555
64,68,228,841.7728098230564,151.6131827207664
