,x1,y1,x2,y2
2967,884,684,836.6336,435.56763
66,204,228,194.89879,222.29106
2847,1292,228,1028.5697,368.8009
726,816,76,829.227,138.4935
2664,204,456,385.64612,423.26733
1864,1292,0,1206.2806,23.167004
1584,612,684,662.90125,645.5347
2389,0,304,540.35187,234.20232
2606,544,228,262.4202,145.09067
134,544,456,316.25888,492.80762
2271,476,684,590.8866,671.75
1515,204,456,202.929,423.29636
2049,1020,684,176.90027,770.50385
2907,1088,456,1014.3875,407.10284
2435,272,456,349.74213,436.96332
919,1088,760,1028.2456,769.6935
782,340,304,365.0877,386.2794
1715,1088,304,1193.7792,362.63965
2032,1292,608,855.55853,622.74146
319,272,304,216.43973,297.01578
2404,1020,304,1170.9618,350.1347
1923,1020,228,1226.7185,281.52
2258,1020,608,835.36755,644.00165
2736,816,684,667.881,658.02545
139,884,456,994.8891,513.8321
633,204,608,237.24504,433.9942
622,884,532,587.2411,555.1053
1619,272,0,287.82977,142.74721
2793,476,76,442.81104,6.83456
1969,1292,380,975.6403,490.95435
2605,476,228,384.15134,147.39522
2644,272,380,249.54968,396.70474
341,340,380,266.8725,384.00995
2281,1156,684,821.3727,694.35876
1385,1360,760,1236.0421,584.17554
1893,408,152,422.40344,-0.5957435
1801,1224,608,907.6947,612.6439
490,476,76,279.77264,147.137
1747,408,456,311.79715,408.91608
2658,1224,380,960.87366,391.49716
1205,544,152,476.47067,213.24117
2212,748,456,440.0495,515.0413
156,612,532,519.5719,557.8967
1197,0,152,857.6247,130.48296
807,612,380,438.0623,477.31784
2554,1292,0,1237.7883,41.519238
2302,1156,760,962.27625,520.21576
2137,1360,152,1370.9166,144.74506
990,204,228,202.0833,288.791
2484,748,608,585.24976,688.8428
123,1224,380,1184.0203,340.12122
1701,136,304,319.24323,281.65967
2597,1360,152,1151.5043,89.20802
1383,1224,760,1095.3536,748.6878
2641,68,380,-54.376667,534.8066
2673,816,456,751.96594,385.39688
2209,544,456,480.67087,506.62793
2714,748,608,714.4439,679.32605
2353,408,152,316.16147,178.38287
1608,884,760,499.41406,691.8375
249,1224,0,1299.3687,26.898643
2628,612,304,623.8356,460.84476
2705,136,608,385.4581,305.10843
2986,748,760,1000.484,551.48737
457,1088,760,1150.6476,698.4917
2121,272,152,400.01727,279.71634
1586,748,684,756.25323,591.86945
1902,1020,152,859.6111,262.87863
1296,1020,456,1091.5824,454.1938
1846,68,0,484.03296,267.3778
865,272,608,344.27914,552.66455
1233,1020,228,426.0636,225.29611
777,0,304,390.38312,493.41412
2278,952,684,763.61584,703.355
1275,1020,380,1129.0411,409.1064
1229,748,228,370.20627,290.92206
52,680,152,869.40814,138.81728
1814,680,684,471.90878,629.34784
13,884,0,832.2858,12.887664
1593,1224,684,915.4754,600.68304
2419,612,380,521.9531,343.11853
518,952,152,790.5433,199.7509
1577,136,684,107.156265,522.1673
177,612,608,482.17194,695.733
2843,1020,228,1023.61835,281.85468
995,544,228,317.1117,296.67023
1900,884,152,602.3388,190.28902
898,1088,684,1109.7587,618.7215
1896,612,152,756.48206,167.59152
1212,1020,152,921.3384,105.66653
2550,1020,0,876.20245,23.395208
704,748,0,683.76215,8.0830345
1669,816,152,668.70654,180.21654
1866,0,76,442.93713,17.994387
1155,0,0,1286.7792,213.30261
465,204,0,373.80063,-30.9801
742,476,152,507.38574,128.1118
753,1224,152,1182.0684,155.66139
1442,952,152,979.56445,49.732178
1110,1224,608,1286.3455,595.8615
1206,612,152,417.10797,310.30548
1788,340,608,359.6363,423.6151
2023,680,608,266.63867,612.6658
2855,408,304,494.98367,313.96774
2135,1224,152,1144.6605,107.62382
2612,952,228,1110.3168,219.19887
1473,204,304,400.3751,243.0729
788,748,304,800.61646,364.84293
815,1156,380,855.07043,369.4849
859,1292,532,1232.9073,413.50705
452,748,760,469.91898,691.64514
1245,408,304,240.509,456.80606
2504,680,684,350.90045,712.36334
2668,476,456,477.22656,468.68494
571,272,380,242.0405,316.98938
1752,748,456,393.2256,454.14206
31,680,76,564.8953,99.83965
2243,0,608,615.69574,377.0536
2892,68,456,666.9316,448.49817
517,884,152,635.0269,182.43523
668,1156,684,944.40717,731.85754
2167,544,304,484.38174,380.39923
2950,1156,608,755.18616,633.7639
1335,816,608,809.60876,674.2503
468,408,0,241.09973,37.104614
914,748,760,832.0433,679.0262
1782,1360,532,1255.7219,526.22986
1036,476,380,192.5979,393.78134
1174,1292,0,1333.6116,-24.083313
542,1156,228,1186.8356,259.75323
833,952,456,1000.88104,399.45233
751,1088,152,1035.5663,135.50923
2926,952,532,997.7073,530.30237
2764,1292,760,1159.2604,583.11554
2556,0,76,993.0246,112.94973
72,612,228,491.87817,242.19476
1096,272,608,262.87018,574.9803
2234,816,532,744.63763,462.14127
520,1088,152,1147.6033,244.33409
2127,680,152,813.61523,133.75078
2917,340,532,411.6702,516.6715
1062,816,456,854.86865,512.5344
1124,748,684,867.3404,733.6736
1570,1088,608,962.0163,510.78125
1402,1088,0,1168.8142,-20.566563
114,612,380,493.7715,360.91846
163,1088,532,1151.6733,556.267
420,0,684,796.92584,607.8858
519,1020,152,911.95856,225.88165
110,340,380,309.20367,361.9444
2270,408,684,490.50485,647.70917
2566,680,76,741.65344,159.88683
2415,340,380,299.83475,376.17465
2012,1360,532,985.10504,564.3713
1182,408,76,371.19867,68.98247
578,748,380,674.6445,371.10397
2280,1088,684,727.8643,717.17786
222,816,760,808.4513,703.30286
2826,1292,152,1185.318,203.72195
278,340,152,419.04248,136.43462
2268,272,684,343.81625,731.5107
1401,1020,0,1204.4984,36.01786
1772,680,532,573.07587,507.15366
1287,408,456,406.36038,452.33804
1184,544,76,198.01851,93.66223
1927,1292,228,1101.1525,437.24567
2674,884,456,850.572,454.651
2379,748,228,516.9807,250.83073
2870,0,380,556.6812,382.89706
2729,340,684,343.84592,586.38385
956,748,76,879.5872,90.432686
1022,952,304,1011.2901,286.97092
948,204,76,380.0866,71.37389
525,0,228,251.00916,224.2297
684,816,760,635.8753,747.7644
1817,884,684,984.8805,315.57758
1075,272,532,320.48752,429.52264
1773,748,532,510.99442,530.058
1937,544,304,529.01184,260.88028
2033,1360,608,473.7918,675.41565
138,816,456,805.0661,474.5679
1950,0,380,883.2648,269.7009
2444,884,456,794.4179,435.10733
399,0,608,664.1808,668.5502
2054,1360,684,996.6275,679.8578
1070,1360,456,1275.6222,521.5578
1822,1224,684,1180.8608,668.0965
398,1360,532,1311.4323,539.6933
2466,952,532,909.08136,569.2576
1682,272,228,425.365,276.86014
2317,816,0,786.0398,41.18965
2902,748,456,466.3869,441.7535
2933,0,608,736.20496,665.59265
2110,952,76,952.56586,31.154638
846,408,532,529.5041,517.633
62,1360,152,1215.7448,235.68356
2562,408,76,504.89206,-22.39973
673,68,760,449.39972,709.23834
971,340,152,351.94968,182.0358
211,68,760,307.03033,620.1067
701,544,0,554.1898,-49.319744
2352,340,152,357.4105,157.20914
732,1224,76,1026.6915,114.34802
1352,544,684,408.04178,432.73508
2016,204,608,336.4661,619.4529
2468,1088,532,1097.5458,565.8767
2787,68,76,614.8112,92.811584
1058,544,456,407.20364,486.92935
2581,272,152,226.4299,161.3633
1976,340,456,358.93668,442.41818
329,952,304,844.60205,315.0206
1858,884,0,802.2662,128.6782
367,680,456,682.5307,491.30203
850,680,532,607.2648,531.5911
1105,884,608,831.48315,629.8788
2493,1360,608,1209.1292,644.63635
1439,748,152,797.54193,305.92566
1823,1292,684,987.709,706.99005
1587,816,684,763.16547,507.22562
1710,748,304,736.3966,521.4373
1723,204,380,320.08884,250.63025
2985,680,760,734.85345,550.8544
287,952,152,1062.9868,163.51791
1774,816,532,505.195,557.7093
2324,1292,0,961.1739,-34.629784
996,612,228,588.3307,282.07803
1474,272,304,413.983,256.11703
540,1020,228,717.09216,239.60219
2196,1088,380,815.8406,425.10593
